Comment ID,Channel ID,Comment Create Timestamp,Price,Parent Comment ID,Video ID,Comment Text
Ugwkm3v8dJc9IjSF_I14AaABAg.98kJi2CeDqT98t5519iOpk,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-20T15:50:57.365684+00:00,0,Ugwkm3v8dJc9IjSF_I14AaABAg,of8Gc_mE3ic,"{""text"":""@mikesmultimedia"",""mention"":{""externalChannelId"":""UCV7ZSDVvjbRQLCSK8j-RbVg""}},{""text"":"" I've decided not to add a fan or AC unit to my van so I haven't thought too much about where/how to mount it.  It sounds like you have a good approach and I'd be interested to see how it goes.  Sorry to hear about your rust problems, I hope the RMA goes ok!""}"
Ugz65o3WIQ5_wo14mbx4AaABAg.98rZXd_6yQA98rhDEbC0w8,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-20T02:54:23.042807+00:00,0,Ugz65o3WIQ5_wo14mbx4AaABAg,THjaxvPBGOU,"{""text"":""I'm glad it was helpful.  All my PDE videos are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrFvek-n1MKhFaDARSdKWPnx"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrFvek-n1MKhFaDARSdKWPnx""}},{""text"":"".  If you are interested in Wolfram tools please check out ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrE4j99TtW_zdyED2IVgbBUd"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrE4j99TtW_zdyED2IVgbBUd""}},{""text"":"".  I hope to catch you at another video.  Thanks for watching!""}"
Ugx5TQPXKJixnGG_4tt4AaABAg.98hAryxuEf098ldDnpJP4d,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:24:03.906034+00:00,0,Ugx5TQPXKJixnGG_4tt4AaABAg,gA-KOk3SAb0,"{""text"":""I'm glad it was helpful.  There are more similar videos on the channel.  Please feel free to check them out and let me know what you think in the comments.  Thanks for watching!""}"
UgwM6QwNCsop_ZIcZpx4AaABAg.98hW7BF-HeV98ldCxPvaE0,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:23:56.938851+00:00,0,UgwM6QwNCsop_ZIcZpx4AaABAg,evVi_D7C6mA,"{""text"":""I'm glad it was helpful.  There are more similar videos on the channel.  Please feel free to check them out and let me know what you think in the comments.  Thanks for watching!""}"
UgzI69Gykved0GYUASF4AaABAg.98igxbKRz3s98ldAAeHaVX,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:23:34.190934+00:00,0,UgzI69Gykved0GYUASF4AaABAg,Gzlk6MKGHrg,"{""text"":""Thanks for the helpful tips, I'm sure these will help a lot of people in the future, me included!""}"
UgwAmhvWK0gE_wbd3Y14AaABAg.98j5D_bTQzq98lc-zv2-VP,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:13:26.47601+00:00,0,UgwAmhvWK0gE_wbd3Y14AaABAg,Uh_-RZQIaEs,"{""text"":""I'm glad it was helpful.  There are more similar videos on the channel.  Please feel free to check them out and let me know what you think in the comments.  Thanks for watching!""}"
UgzhJO-h3cg-3FY205l4AaABAg.98kCSa8U-sg98lc-90KjKK,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:13:19.52109+00:00,0,UgzhJO-h3cg-3FY205l4AaABAg, -OyRCgv-hPs,"{""text"":""I'm glad it was helpful.  There are more similar videos on the channel.  Please feel free to check them out and let me know what you think in the comments.  Thanks for watching!""}"
Ugwkm3v8dJc9IjSF_I14AaABAg.98kJi2CeDqT98lbxKQTFbE,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:12:56.447642+00:00,0,Ugwkm3v8dJc9IjSF_I14AaABAg,of8Gc_mE3ic,"{""text"":""Thanks for the comprehensive comment, it was a pleasure to read.  My original sealing job worked out OK.  I ended up adding another bead of sealant around the bottom of the towers and now it has held up great for the past 6 months.  Let me know when you have your video up, I'd love to see how you approached the problem.  PS. I've got other van videos on the channel, please feel free to check them out and let me know what you think.  Thanks for watching!""}"
Ugz8HovrYjJ6nzVo7854AaABAg.98l4T75XO1v98lbjo_QdlC,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:11:05.790194+00:00,0,Ugz8HovrYjJ6nzVo7854AaABAg,IAut5Y-Ns7g,"{""text"":""I'm glad it was helpful.  There are more similar videos on the channel.  Please feel free to check them out and letm e know what you think in the comments.  Thanks for watching!""}"
UgxhpxvHAOU8Yw01Bw14AaABAg.98lUtT7J0rJ98lbj-ld5m_,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-17T18:10:59.127851+00:00,0,UgxhpxvHAOU8Yw01Bw14AaABAg,evVi_D7C6mA,"{""text"":""I'm glad it was helpful.  There are more similar videos on the channel.  Please feel free to check them out and letm e know what you think in the comments.  Thanks for watching!""}"
UgwlpDrKDfFP4YZRtDB4AaABAg.98O8f7m23NJ98itKSC_DCS,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-16T16:47:03.662187+00:00,0,UgwlpDrKDfFP4YZRtDB4AaABAg,bFFAL9lI2IQ,"{""text"":""Justin, yes, great catch!  This indeed is supposed to be dynamic pressure.""}"
Ugwc-eu8IqJUbZYa_vx4AaABAg.91Br-9Ce7BH98huaxLSs79,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-16T07:38:56.801149+00:00,0,Ugwc-eu8IqJUbZYa_vx4AaABAg,kypswO4RLkk,"{""text"":""Sorry for the delayed response.  The video you are looking for is at ""},{""text"":""https://youtu.be/YzZI1V2mJw8"",""videoLink"":{""externalVideoId"":""YzZI1V2mJw8""}},{""text"":"".""}"
UgzFmG9kXk6RFtWVZAl4AaABAg.98bx5o5ylBy98gTaHv4aPP,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-15T18:14:56.987295+00:00,0,UgzFmG9kXk6RFtWVZAl4AaABAg,1zIIcYfp5QA,"{""text"":""I'm glad it was helpful. There are other similar videos on the channel please feel free to check them out and let me know what you think in the comments. Thanks for watching!""}"
UgzZa9___MU1Oi6abUR4AaABAg.98c88LnMIQ-98gTWYUjSW1,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-15T18:14:18.12552+00:00,0,UgzZa9___MU1Oi6abUR4AaABAg,f6DW3LKs89k,"{""text"":""Yes, I seem to have better luck when I erase right away.  Thanks for watching!""}"
UgxXVxwHccubGHkk1Sp4AaABAg.98cUAfwNQ1E98gTOz7HuuO,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-15T18:13:16.15177+00:00,0,UgxXVxwHccubGHkk1Sp4AaABAg,RTEpONXUJyE,"{""text"":""Hi Justin, thanks for the feedback.  I'll look into this. I think the mic I use for the computer recordings is cleaner with less background noise which causes some of the issue in perceived loudness.  How much of a volume difference do you perceive?  Is it just this video or do others exhibit similar behavior?""}"
UgxiTPrpUNCc0xhPNNR4AaABAg.98dX2Ndv_zp98gSxiwygPt,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-15T18:09:24.71458+00:00,0,UgxiTPrpUNCc0xhPNNR4AaABAg,RLWe8dZeuEs,"{""text"":""I'm glad it was helpful. There are other similar videos on the channel please feel free to check them out and let me know what you think in the comments. Thanks for watching!""}"
Ugxu_82QMtYSLfOsrhJ4AaABAg.98e0kBzPqta98gSsWP79nV,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-15T18:08:42.014622+00:00,0,Ugxu_82QMtYSLfOsrhJ4AaABAg,Fh3nMi87cB8,"{""text"":""I'm glad it was helpful. There are other similar videos on the channel please feel free to check them out and let me know what you think in the comments. Thanks for watching!""}"
UgxnRTIP1XpcVUg9q-J4AaABAg.98ejSo3hqta98gSnAOzBy1,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-15T18:07:58.182786+00:00,0,UgxnRTIP1XpcVUg9q-J4AaABAg,Ak30ODrkyo8,"{""text"":""I'm glad it was helpful thanks for watching!""}"
UgzYPepD1Bc85KVThaZ4AaABAg.98c7cuo7kp798cSL8R7nMI,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-14T04:47:02.698508+00:00,0,UgzYPepD1Bc85KVThaZ4AaABAg,qCgqYNhmmDE,"{""text"":""I'm glad it was helpful.  I have other similar tutorials on the channel.  Please feel free to check them out and let me know what you think.  Thanks for watching!""}"
UgxCsBL7ynUsC0EkaiV4AaABAg.98cNiCWL1N698cOQRv-Da_,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-14T04:12:49.007248+00:00,0,UgxCsBL7ynUsC0EkaiV4AaABAg,RTEpONXUJyE,"{""text"":""Hi Daryl, I'm glad you liked it.  Let me know what you think about the next few videos as well since they are going to build on this and use it to finally get our RCAM model flying the way we want it to.""}"
UgzD-XRfyqcwO9jJC0V4AaABAg.98Y1xgLYY8F98bLr4pHgYE,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-13T18:31:08.087663+00:00,0,UgzD-XRfyqcwO9jJC0V4AaABAg,3I1_5M7Okqo,"{""text"":""Most welcome!""}"
UgyE0vZCnnG_DObLzbJ4AaABAg.98_FBNGykzB98bLmpmh5Gy,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-13T18:30:33.285313+00:00,0,UgyE0vZCnnG_DObLzbJ4AaABAg,wb3Dq4NM3QY,"{""text"":""You're welcome!""}"
UgyWBEU3oquRM5FepDp4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-13T13:54:08.297279+00:00,0,,YzZI1V2mJw8,"{""text"":""In case it is helpful, all my Flight Mechanics videos in a single playlist is located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrEx3A6W94sQGClk6Q4YCg-h""}},{""text"":"".  All my Optimization videos in a single playlist are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrHo2EYb_sMctU959D-iPybT"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrHo2EYb_sMctU959D-iPybT""}},{""text"":"".  Please let me know what you think in the comments.  You can support this channel via Patreon at ""},{""text"":""https://www.patreon.com/christopherwlum"",""link"":{""linkUrl"":""https://www.patreon.com/christopherwlum""}},{""text"":"".  Thanks for watching!""}"
UgxdgQgjnEfgevF9uNl4AaABAg.98YHf8rzPW698YK4XhoKcj,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-12T04:58:40.216278+00:00,0,UgxdgQgjnEfgevF9uNl4AaABAg,FGe5N4HPQMI,"{""text"":""I'm glad it was helpful.  I have other videos focusing on Blender for video editing.  Please check them out and let me know what you think, thanks for watching!""}"
UgxzmjUCOOOLD1_32TV4AaABAg.98VL7ygNmEj98VWgz2Axti,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-11T02:51:11.485503+00:00,0,UgxzmjUCOOOLD1_32TV4AaABAg,OUwfE_-tcfo,"{""text"":""Can you be more specific?  What appears to not be working in R2020?""}"
Ugxao0mjOPatatPFtoR4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-10T15:29:44.44642+00:00,0,,rx2vUzjuDc0,"{""text"":""In case it is helpful, all my Optimization videos in a single playlist are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrHo2EYb_sMctU959D-iPybT"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrHo2EYb_sMctU959D-iPybT""}},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
UgxdSB6JTJujzVTaVQl4AaABAg.98SiMp9h1-C98Sm7bCtTli,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-10T01:17:03.113251+00:00,0,UgxdSB6JTJujzVTaVQl4AaABAg,of8Gc_mE3ic,"{""text"":""Hi Wade, wow you have a great eye and you nailed it exactly!  You must be a local :)""}"
UgyBql-p2IlxhnH-bmR4AaABAg,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-09T18:21:12.318574+00:00,0,,RTEpONXUJyE,"{""text"":""In case it is helpful, all my Optimization videos in a single playlist are located at ""},{""text"":""https://www.youtube.com/playlist?list=PLxdnSsBqCrrHo2EYb_sMctU959D-iPybT"",""playlistLink"":{""externalPlaylistId"":""PLxdnSsBqCrrHo2EYb_sMctU959D-iPybT""}},{""text"":"".  Please let me know what you think in the comments.  Thanks for watching!""}"
UgwOAxDKAXAjo8HNO_F4AaABAg.98RjmEmj1NT98RqnMPGYcC,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-09T16:38:36.077248+00:00,0,UgwOAxDKAXAjo8HNO_F4AaABAg,m7c45On2eYk,"{""text"":""There are other Blender videos on the channel as well.  Please let me know what you think of them, thanks for watching!""}"
UgwL5eyMI9rNomFFvqt4AaABAg.98Qw9-faj7298RqkIzSlAD,UCPUuVY7w8brL0r__P8UBgyQ,2020-05-09T16:38:10.989404+00:00,0,UgwL5eyMI9rNomFFvqt4AaABAg,9GZjtfYOXao,"{""text"":""Hi Peter, thanks for the kind words.  There are other similar videos on the channels (for example showing how to do the same thing but use quaternions).  If you look at the pinned comment, there is a playlist with the videos.  Please let me know what you think of these as well.  Thanks for watching!""}"
